#apars     dens
0.0774412724739   1.01025169662
0.0874412724739   1.01542059679
0.0974412724739   1.02266685016
0.107441272474   1.03033998348
0.117441272474   1.0338634885
0.127441272474   1.03177474041
0.137441272474   1.02770981055
0.147441272474   1.02662125571
0.157441272474   1.03096639502
0.167441272474   1.04072669136
0.177441272474   1.05503515457
0.187441272474   1.07329527093
0.197441272474   1.09525677042
0.207441272474   1.12069537217
0.217441272474   1.14943918309
0.227441272474   1.18112108626
0.237441272474   1.21572089985
0.247441272474   1.25321570158
0.257441272474   1.29359056649
0.267441272474   1.33661386214
0.277441272474   1.38162464537
0.287441272474   1.4280028987
0.297441272474   1.47458700493
0.307441272474   1.51999759529
0.317441272474   1.56300114903
0.327441272474   1.60217047134
0.337441272474   1.63664511429
0.347441272474   1.66597329573
0.357441272474   1.68917325457
0.367441272474   1.7062423145
0.377441272474   1.71700647533
0.387441272474   1.72142988273
0.397441272474   1.71977255025
0.407441272474   1.71230614432
0.417441272474   1.69838401315
0.427441272474   1.67830695231
0.437441272474   1.65161783949
0.447441272474   1.61771036389
0.457441272474   1.57509525305
0.467441272474   1.5226244219
0.477441272474   1.45900814374
0.487441272474   1.38487677325
0.497441272474   1.30308290363
0.507441272474   1.22015919318
0.517441272474   1.14387093714
0.527441272474   1.08032212746
0.537441272474   1.03087192289
0.547441272474   0.991090441039
0.557441272474   0.955129917288
0.567441272474   0.917480583353
0.577441272474   0.875055733244
0.587441272474   0.8269272494
0.597441272474   0.775143347303
0.607441272474   0.721782790173
0.617441272474   0.669509188666
0.627441272474   0.619177695227
0.637441272474   0.572036369139
0.647441272474   0.528363067595
0.657441272474   0.489502582916
0.667441272474   0.454986533361
0.677441272474   0.424601014633
0.687441272474   0.398372318334
0.697441272474   0.376184930432
0.707441272474   0.355609055527
0.717441272474   0.33823282047
0.727441272474   0.324095660773
0.737441272474   0.311963767921
0.747441272474   0.301011106683
0.757441272474   0.291274274129
0.767441272474   0.284358156612
0.777441272474   0.278987445164
0.787441272474   0.274786281381
0.797441272474   0.269728796303
0.807441272474   0.265662907937
0.817441272474   0.265879306605
0.827441272474   0.265614371692
0.837441272474   0.264429041826
0.847441272474   0.265598418601
0.857441272474   0.26741623353
0.867441272474   0.270700631525
0.877441272474   0.274325627144
0.887441272474   0.279173762802
0.897441272474   0.283977146409
0.907441272474   0.290692954045
0.917441272474   0.299364203863
0.927441272474   0.309043185498
0.937441272474   0.31939970519
0.947441272474   0.331945932888
0.957441272474   0.34749642771
0.967441272474   0.36442443803
0.977441272474   0.382245420711
0.987441272474   0.402321551313
0.997441272474   0.425828567653
1.00744127247   0.451594017105
1.01744127247   0.479795132897
1.02744127247   0.510390253389
1.03744127247   0.543868808375
1.04744127247   0.580014203105
1.05744127247   0.619085276669
1.06744127247   0.659900952871
1.07744127247   0.702978948568
1.08744127247   0.748019843167
1.09744127247   0.794750118288
1.10744127247   0.841463945821
1.11744127247   0.889017782079
1.12744127247   0.936318402895
1.13744127247   0.981559263101
1.14744127247   1.02499399313
1.15744127247   1.06543613301
1.16744127247   1.10259180019
1.17744127247   1.1355365692
1.18744127247   1.16368403619
1.19744127247   1.18612707138
1.20744127247   1.20277979367
1.21744127247   1.21408254888
1.22744127247   1.2194864
1.23744127247   1.21877185196
1.24744127247   1.21261760851
1.25744127247   1.20149373165
1.26744127247   1.1850987731
1.27744127247   1.16493429044
1.28744127247   1.14102351898
1.29744127247   1.11401123439
1.30744127247   1.08459651994
1.31744127247   1.05351772692
1.32744127247   1.02124533911
1.33744127247   0.988534703171
1.34744127247   0.955808331786
1.35744127247   0.925065732679
1.36744127247   0.896386617788
1.37744127247   0.87123280484
1.38744127247   0.850656230336
1.39744127247   0.83554483454
1.40744127247   0.825834077331
1.41744127247   0.821406308866
1.42744127247   0.821823519328
1.43744127247   0.826322358958
1.44744127247   0.834324709094
1.45744127247   0.844828425196
1.46744127247   0.856856362029
1.47744127247   0.870656083959
1.48744127247   0.88540410032
1.49744127247   0.900921742488
1.50744127247   0.91708174335
1.51744127247   0.932675580087
1.52744127247   0.948091168007
1.53744127247   0.962903698807
1.54744127247   0.977700409569
1.55744127247   0.992781404491
1.56744127247   1.00706878321
1.57744127247   1.02057868673
1.58744127247   1.03366975297
1.59744127247   1.04594454283
1.60744127247   1.05707236068
1.61744127247   1.06722995811
1.62744127247   1.07600222177
1.63744127247   1.08289685433
1.64744127247   1.08813232746
1.65744127247   1.09149378518
1.66744127247   1.09250207415
1.67744127247   1.09045240913
1.68744127247   1.08632898538
1.69744127247   1.0797650772
1.70744127247   1.07074725794
1.71744127247   1.06048888687
1.72744127247   1.04914338327
1.73744127247   1.03762137858
1.74744127247   1.02577737959
