# Name                 	RA	DEC	D	Vlos	PMRA	PMDEC	rmaxdegr	 radius	Nmember
#                      	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	deg	 arcmin	dimless
2MASS-GC03 (FSR 1735)  	253.044	-47.058	10.8	5	-5.016	-0.192	0.03	2	49
Arp 2                  	292.184	-30.356	28.6	122.5	-2.384	-1.519	0.07	4	235
BH 184 (Lynga 7)       	242.765	-55.318	8	8	-3.843	-7.04	0.05	3	327
BH 229 (HP 1)          	262.772	-29.982	8.2	40.1	2.463	-10.19	0.03	2	119
Crater (Laevens 1)     	174.067	-10.877	145	148.2	-0.06	-0.098	0.05	3	10
E 1 (AM 1)             	58.76	-49.615	123.3	116	0.337	-0.385	0.04	2.5	37
E 3 (ESO 37-1)         	140.238	-77.282	8.1	4.8	-2.694	7.115	0.07	4	338
Eridanus               	66.185	-21.187	90.1	-23.6	0.491	-0.372	0.07	4	31
ESO 224-8 (BH 176)     	234.781	-50.053	18.9	-6	-3.989	-3.067	0.03	2	165
ESO 280-06             	272.275	-46.423	21.4	93.2	-0.557	-2.724	0.03	2	57
ESO 452-11 (1636-283)  	249.856	-28.399	8.3	16.4	-1.536	-6.428	0.03	2	128
ESO 456-38 (Djorg 2)   	270.455	-27.826	6.3	-150	0.576	-3.048	0.03	2	46
IC 1257                	261.785	-7.093	25	-140.2	-1.014	-1.434	0.03	2	71
IC 4499                	225.077	-82.214	18.8	38.7	0.477	-0.495	0.1	6	1257
Liller 1               	263.352	-33.389	8.2	58.2	-5.53	-7.687	0.02	1.2	11
NGC 104 (47 Tuc)       	6.0194	-72.0821	4.5	-18.95	5.2477	-2.5189	0.9	40	63313
NGC 1261               	48.068	-55.216	16.3	71.5	1.632	-2.028	0.1	6	1865
NGC 1851               	78.528	-40.0456	12.1	323.36	2.1308	-0.622	0.28	10	4639
NGC 1904 (M 79)        	81.0463	-24.5255	12.9	206.43	2.4702	-1.5603	0.14	8	2747
NGC 2298               	102.2464	-36.0046	10.8	147.41	3.2762	-2.1913	0.16	6	1492
NGC 2419               	114.535	38.882	82.6	-20.6	-0.027	-0.534	0.08	5	826
NGC 2808               	138.0071	-64.8645	9.6	104.61	1.0032	0.2785	0.39	12	8385
NGC 288                	13.1879	-26.5858	8.9	-49.06	4.2385	-5.647	0.33	8	6166
NGC 3201               	154.3987	-46.4125	4.9	494.62	8.3344	-1.9895	0.98	20	19316
NGC 362                	15.8099	-70.8489	8.6	226.93	6.6954	-2.5184	0.39	12	6388
NGC 4147               	182.526	18.543	19.3	179.1	-1.702	-2.108	0.07	4	570
NGC 4372               	186.4587	-72.6562	5.8	77.41	-6.3898	3.3266	0.46	12	11153
