# Name                 	     RA	    DEC	      D	   Vlos	   PMRA	  PMDEC	 radius	  ePMRA	 ePMDEC	 corrPM		Nmember	  eVlos
#                      	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	 arcmin	 mas/yr	 mas/yr	dimless		dimless	   km/s
NGC 6366               	261.934	-5.08	3.5	-120.9	-0.345	-5.141	8	0.007	0.007	0.2		5141	0.2
NGC 6380 (Ton 1)       	263.617	-39.069	10.9	-3.6	-2.099	-3.135	2	0.021	0.018	-0.112		290	2.5
NGC 6388               	264.072	-44.736	9.9	83.4	-1.319	-2.698	6	0.01	0.009	0.021		2235	0.5
NGC 6397               	265.175	-53.674	2.3	18.4	3.301	-17.61	25	0.004	0.004	-0.031		22209	0.1
NGC 6401               	264.652	-23.91	10.6	-65	-2.827	1.456	3	0.015	0.013	0.081		302	8.6
NGC 6402 (M 14)        	264.4	-3.246	9.3	-60.7	-3.625	-5.067	8	0.008	0.008	0.119		3674	0.4
NGC 6440               	267.22	-20.36	8.5	-67.8	-1.14	-3.861	3	0.024	0.021	0.269		674	1
NGC 6441               	267.554	-37.051	11.6	17.1	-2.516	-5.35	6	0.012	0.011	0.055		1961	0.8
NGC 6453               	267.715	-34.599	11.6	-83.7	0.173	-5.886	3	0.02	0.018	-0.068		126	8.3
NGC 6496               	269.765	-44.266	11.3	-134.7	-3.038	-9.221	6	0.008	0.007	0.053		1317	0.3
NGC 6517               	270.461	-8.959	10.6	-39.6	-1.508	-4.26	4	0.016	0.015	0.341		612	8
NGC 6522               	270.892	-30.034	7.7	-14	2.666	-6.404	3	0.02	0.019	0.022		274	0.6
NGC 6528               	271.207	-30.056	7.9	211	-2.184	-5.576	2	0.03	0.026	0.021		144	0.7
NGC 6535               	270.96	-0.298	6.8	-214.9	-4.237	-2.916	3	0.016	0.015	0.111		660	0.4
NGC 6539               	271.207	-7.586	7.8	35.6	-6.847	-3.48	5	0.012	0.01	0.128		1019	0.5
NGC 6541               	272.01	-43.715	7.5	-163.9	0.351	-8.83	10	0.007	0.007	-0.072		4340	0.4
NGC 6544               	271.836	-24.997	3	-36.4	-2.318	-18.586	6	0.012	0.012	0.086		2682	1
NGC 6626 (M 28)        	276.137	-24.87	5.5	11	-0.293	-8.969	8	0.012	0.012	-0.087		1872	0.6
NGC 6637 (M 69)        	277.846	-32.348	8.8	39.9	-5.102	-5.805	6	0.01	0.009	0.285		867	2.8
NGC 6656 (M 22)        	279.1	-23.905	3.2	-147.8	9.845	-5.584	20	0.005	0.005	0.097		17895	0.3
NGC 6681 (M 70)        	280.803	-32.292	9	217.4	1.413	-4.722	6	0.011	0.01	0.157		1517	0.9
NGC 6752               	287.717	-59.985	4	-26.2	-3.179	-4.037	20	0.003	0.003	0.076		25809	0.1
NGC 6779 (M 56)        	289.148	30.183	9.4	-122	-2.001	1.664	6	0.007	0.008	0.042		2408	0.5
NGC 6809 (M 55)        	294.999	-30.965	5.4	174.8	-3.404	-9.265	12	0.004	0.004	0.174		12803	0.2
NGC 6838 (M 71)        	298.444	18.779	4	-22.5	-3.398	-2.614	6	0.005	0.005	0.07		4413	0.2
NGC 6864 (M 75)        	301.52	-21.921	20.9	-188.6	-0.555	-2.776	4	0.011	0.009	0.141		989	0.9
NGC 6981 (M 72)        	313.365	-12.537	17	-345	-1.236	-3.306	4	0.009	0.006	0.294		1242	3.7
NGC 7078 (M 15)        	322.493	12.167	10.4	-106.5	-0.622	-3.782	10	0.006	0.006	-0.037		7403	0.2
NGC 7089 (M 2)         	323.363	-0.823	11.5	-3.6	3.531	-2.139	8	0.007	0.007	0.027		4272	0.3
NGC 7099 (M 30)        	325.092	-23.18	8.1	-185.3	-0.705	-7.215	8	0.007	0.007	0.269		4133	0.1
2MASS-GC03 (FSR 1735)  	253.044	-47.058	10.8	5	-5.016	-0.192	2	0.095	0.088	-0.26		49	10
Arp 2                  	292.184	-30.356	28.6	122.5	-2.384	-1.519	4	0.021	0.018	0.149		235	0.3
BH 184 (Lynga 7)       	242.765	-55.318	8	8	-3.843	-7.04	3	0.014	0.012	-0.234		327	5
BH 229 (HP 1)          	262.772	-29.982	8.2	40.1	2.463	-10.19	2	0.028	0.024	0.006		119	1.1
Crater (Laevens 1)     	174.067	-10.877	145	148.2	-0.06	-0.098	3	0.275	0.168	-0.167		10	1.1
E 1 (AM 1)             	58.76	-49.615	123.3	116	0.337	-0.385	2.5	0.122	0.168	-0.13		37	20
E 3 (ESO 37-1)         	140.238	-77.282	8.1	4.8	-2.694	7.115	4	0.014	0.014	-0.153		338	0.5
Eridanus               	66.185	-21.187	90.1	-23.6	0.491	-0.372	4	0.05	0.056	-0.317		31	2.1
ESO 224-8 (BH 176)     	234.781	-50.053	18.9	-6	-3.989	-3.067	2	0.037	0.03	0.099		165	14
ESO 280-06             	272.275	-46.423	21.4	93.2	-0.557	-2.724	2	0.054	0.041	0.294		57	0.5
ESO 452-11 (1636-283)  	249.856	-28.399	8.3	16.4	-1.536	-6.428	2	0.026	0.021	-0.117		128	0.4
ESO 456-38 (Djorg 2)   	270.455	-27.826	6.3	-150	0.576	-3.048	2	0.048	0.042	-0.03		46	28
ESO 456-78 (BH 261)    	273.527	-28.635	6.5	     --	3.555	-3.626	2	0.032	0.03	0.336		60	     --
IC 1257                	261.785	-7.093	25	-140.2	-1.014	-1.434	2	0.048	0.043	0.123		71	2.1
IC 4499                	225.077	-82.214	18.8	38.7	0.477	-0.495	6	0.006	0.007	0.134		1257	0.5
Liller 1               	263.352	-33.389	8.2	58.2	-5.53	-7.687	1.2	0.522	0.327	0.285		11	2.2
NGC 1261               	48.068	-55.216	16.3	71.5	1.632	-2.028	6	0.006	0.006	0.152		1865	0.3
NGC 2419               	114.535	38.882	82.6	-20.6	-0.027	-0.534	5	0.017	0.011	0.108		826	0.2
NGC 4147               	182.526	18.543	19.3	179.1	-1.702	-2.108	4	0.016	0.01	-0.147		570	0.3
NGC 5694               	219.901	-26.539	35	-139.4	-0.44	-1.088	3	0.024	0.022	-0.374		245	0.4
NGC 5824               	225.994	-33.068	32.1	-25.5	-1.184	-2.227	4	0.014	0.01	0.158		894	0.5
NGC 6101               	246.451	-72.202	15.4	361.4	1.76	-0.216	6	0.004	0.004	0.044		3216	1.7
NGC 6139               	246.918	-38.849	10.1	25	-6.168	-2.654	4	0.015	0.013	0.115		869	0.8
NGC 6229               	251.745	47.528	30.5	-138.3	-1.185	-0.431	4	0.01	0.015	0.131		418	0.8
NGC 6256               	254.886	-37.121	10.3	-99.6	-3.649	-1.507	3	0.023	0.019	-0.019		229	1.1
NGC 6355               	260.994	-26.353	9.2	-196.4	-4.706	-0.512	3	0.019	0.015	0.269		338	1.3
NGC 6426               	266.228	3.17	20.6	-162	-1.848	-2.999	3	0.012	0.012	0.406		339	23
NGC 6540 (Djorg 3)     	271.536	-27.765	5.3	-17.7	-3.729	-2.732	2	0.028	0.028	0.126		69	1.4
NGC 6553               	272.323	-25.909	6	0.5	0.262	-0.412	4	0.013	0.013	0.065		961	0.4
NGC 6558               	272.573	-31.764	7.4	-195.6	-1.765	-4.112	2	0.017	0.016	0.096		174	0.7
NGC 6569               	273.412	-31.827	10.9	-49.9	-4.113	-7.279	4	0.01	0.01	0.072		802	0.4
NGC 6584               	274.657	-52.216	13.5	259.6	-0.037	-7.213	6	0.008	0.007	-0.074		1308	1.6
NGC 6624               	275.919	-30.361	7.9	54.7	0.12	-6.929	3	0.015	0.013	0.005		536	0.4
NGC 6638               	277.734	-25.497	9.4	18.1	-2.535	-4.085	3	0.013	0.012	0.224		304	3.9
NGC 6642               	277.975	-23.475	8.1	-33	-0.178	-3.914	2	0.019	0.018	0.076		239	1
NGC 6652               	278.94	-32.991	10	-111.7	-5.496	-4.198	3	0.01	0.009	0.073		634	5.8
NGC 6712               	283.268	-8.706	6.9	-107.5	3.329	-4.395	4	0.009	0.009	0.098		912	0.3
NGC 6715 (M 54)        	283.764	-30.48	26.5	142.3	-2.714	-1.379	6	0.007	0.007	0.214		2505	0.3
NGC 6717 (Pal 9)       	283.775	-22.701	7.1	22.8	-3.11	-4.946	3	0.014	0.014	0.37		548	3.4
NGC 6723               	284.888	-36.632	8.7	-94.4	1.019	-2.442	8	0.006	0.005	0.111		4078	0.2
NGC 6749               	286.314	1.901	7.9	-58.5	-2.84	-5.952	3	0.013	0.013	0.217		673	0.9
NGC 6760               	287.8	1.03	7.4	-1.6	-1.124	-3.547	4	0.011	0.012	0.172		1109	1.7
NGC 6934               	308.547	7.404	15.6	-406.1	-2.645	-4.658	4	0.008	0.007	0.131		1385	0.5
NGC 7006               	315.372	16.187	41.2	-383.2	-0.08	-0.584	3	0.017	0.02	-0.091		297	0.6
NGC 7492               	347.111	-15.611	26.3	-176.7	0.798	-2.277	3	0.018	0.015	0.104		199	0.2
Pal 1                  	53.334	79.581	11.1	-82.8	-0.176	0.086	2	0.037	0.055	0.017		56	3.3
Pal 10                 	289.509	18.572	5.9	-31.7	-4.23	-6.919	3	0.018	0.017	0.053		347	0.4
Pal 11                 	296.31	-8.007	13.4	-67.2	-1.813	-4.936	4	0.021	0.017	0.289		319	1
Pal 12                 	326.662	-21.253	19	28.2	-3.248	-3.29	3	0.023	0.021	0.293		206	0.2
Pal 13                 	346.685	12.772	26	25.7	1.625	0.114	3	0.076	0.059	0.026		56	0.3
Pal 14 (Arp 1)         	242.752	14.958	76.5	72.2	-0.503	-0.488	5	0.051	0.046	0.437		80	0.2
Pal 15                 	254.963	-0.539	45.1	68.9	-0.569	-0.856	4	0.043	0.031	0.097		104	1.1
Pal 2                  	71.525	31.381	27.2	-134.9	1.062	-1.578	3	0.041	0.025	0.023		172	1.2
Pal 3                  	151.383	0.072	92.5	89.9	0.087	-0.085	3	0.133	0.157	-0.51		36	1.2
Pal 4                  	172.32	28.974	108.7	72.7	-0.145	-0.516	4	0.085	0.168	-0.646		30	0.3
Pal 5                  	229.022	-0.112	23.2	-58.4	-2.728	-2.687	6	0.022	0.025	-0.39		242	0.3
Pal 6                  	265.926	-26.223	5.8	181	-9.237	-5.292	3	0.025	0.022	0.302		198	2.8
Pal 7 (IC 1276)        	272.684	-7.208	5.4	155.3	-2.573	-4.378	6	0.011	0.011	0.134		1621	0.9
Pal 8                  	280.375	-19.826	12.8	-43	-2.022	-5.649	3	0.011	0.01	0.287		428	15
Pismis 26 (Ton 2)      	264.044	-38.553	8.2	-183.8	-5.943	-0.539	3	0.019	0.015	0.157		335	0.8
Pyxis                  	136.991	-37.221	39.4	40.4	1.079	0.24	2	0.041	0.038	0.393		59	0.2
Rup 106                	189.667	-51.15	21.2	-38.4	-1.264	0.391	3	0.013	0.009	0.606		442	0.3
Terzan 1 (HP 2)        	263.949	-30.481	6.7	57.7	-2.985	-4.74	2	0.044	0.042	0.232		153	1.2
Terzan 10              	270.742	-26.067	5.8	     --	-7.021	-2.511	2	0.063	0.053	0.221		43	     --
Terzan 12              	273.066	-22.742	4.8	94.1	-6.173	-2.693	3	0.032	0.028	0.325		169	1.5
Terzan 2 (HP 3)        	261.888	-30.802	7.5	109	-2.253	-6.196	3	0.052	0.042	0.259		94	15
Terzan 3               	247.167	-35.353	8.2	-135.7	-5.606	-1.701	4	0.013	0.01	0.114		837	0.6
Terzan 4 (HP 4)        	262.663	-31.596	7.2	-50	-5.414	-3.383	2	0.065	0.056	0.106		42	2.9
Terzan 5 (Terzan 11)   	267.02	-24.779	6.9	-82.3	-1.71	-4.698	2	0.048	0.042	0.192		542	1.3
Terzan 6 (HP 5)        	267.693	-31.275	6.8	136.6	-5.519	-6.987	2	0.163	0.11	-0.05		22	1.6
Terzan 7               	289.433	-34.658	22.8	159.6	-2.988	-1.592	3	0.021	0.019	0.283		203	0.1
Terzan 8               	295.435	-33.999	26.3	148.2	-2.438	-1.571	4	0.014	0.009	-0.212		379	0.2
Terzan 9               	270.412	-26.84	7.1	59	-2.225	-7.492	3	0.038	0.029	0.13		137	10
Whiting 1              	30.738	-3.253	30.1	-130.6	-0.197	-1.756	3	0.088	0.064	-0.073		39	1.8
