# Name                 	Mass	RA	DEC	D	Vlos	PMRA	PMDEC	rmaxdegr	 radius	Nmember
#                      	[Msun]	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	deg	 arcmin	dimless
NGC 6749               	5.68E+04	286.314	1.901	7.9	-58.5	-2.84	-5.952	0.05	3	673
NGC 5053               	5.66E+04	199.1124	17.7008	17.4	42.5	-0.3591	-1.2586	0.13	6	1942
Pal 7 (IC 1276)        	5.46E+04	272.684	-7.208	5.4	155.3	-2.573	-4.378	0.1	6	1621
Terzan 3               	5.46E+04	247.167	-35.353	8.2	-135.7	-5.606	-1.701	0.07	4	837
NGC 6838 (M 71)        	4.91E+04	298.4427	18.779	4	-21.01	-3.3842	-2.6528	0.19	6	4413
NGC 6366               	4.73E+04	261.9393	-5.0752	3.5	-120.9	-0.3835	-5.1309	0.36	8	5141
NGC 6342               	4.64E+04	260.2983	-19.605	8.5	118.97	-2.9475	-7.0059	0.13	3	496
NGC 6144               	4.63E+04	246.8061	-26.0301	8.9	195.85	-1.7646	-2.6371	0.17	4	1478
NGC 5466               	4.56E+04	211.3614	28.5331	16	109.41	-5.4044	-0.7907	0.15	8	3030
Pyxis                  	4.49E+04	136.991	-37.221	39.4	40.4	1.079	0.24	0.03	2	59
Terzan 8               	4.39E+04	295.435	-33.999	26.3	148.2	-2.438	-1.571	0.07	4	379
NGC 4147               	3.29E+04	182.526	18.543	19.3	179.1	-1.702	-2.108	0.07	4	570
NGC 7492               	3.07E+04	347.111	-15.611	26.3	-176.7	0.798	-2.277	0.05	3	199
E 3 (ESO 37-1)         	3.06E+04	140.238	-77.282	8.1	4.8	-2.694	7.115	0.07	4	338
Pal 4                  	2.98E+04	172.32	28.974	108.7	72.7	-0.145	-0.516	0.07	4	30
NGC 6558               	2.93E+04	272.573	-31.764	7.4	-195.6	-1.765	-4.112	0.03	2	174
Pal 13                 	2.74E+04	346.685	12.772	26	25.7	1.625	0.114	0.05	3	56
ESO 280-06             	2.27E+04	272.275	-46.423	21.4	93.2	-0.557	-2.724	0.03	2	57
Pal 14 (Arp 1)         	2.27E+04	242.752	14.958	76.5	72.2	-0.503	-0.488	0.08	5	80
NGC 6535               	2.00E+04	270.959	-0.2953	6.8	-211.4	-4.2101	-2.9461	0.11	3	660
Terzan 7               	1.66E+04	289.433	-34.658	22.8	159.6	-2.988	-1.592	0.05	3	203
Pal 5                  	1.39E+04	229.022	-0.112	23.2	-58.4	-2.728	-2.687	0.1	6	242
Pal 12                 	1.19E+04	326.662	-21.253	19	28.2	-3.248	-3.29	0.05	3	206
NGC 2298               	1.16E+04	102.2464	-36.0046	10.8	147.41	3.2762	-2.1913	0.16	6	1492
ESO 452-11 (1636-283)  	1.06E+04	249.856	-28.399	8.3	16.4	-1.536	-6.428	0.03	2	128
2MASS-GC03 (FSR 1735)  	3.55E+06	253.044	-47.058	10.8	5	-5.016	-0.192	0.03	2	49
BH 184 (Lynga 7)       	3.55E+06	242.765	-55.318	8	8	-3.843	-7.04	0.05	3	327
Crater (Laevens 1)     	3.55E+06	174.067	-10.877	145	148.2	-0.06	-0.098	0.05	3	10
E 1 (AM 1)             	3.55E+06	58.76	-49.615	123.3	116	0.337	-0.385	0.04	2.5	37
Eridanus               	3.55E+06	66.185	-21.187	90.1	-23.6	0.491	-0.372	0.07	4	31
ESO 224-8 (BH 176)     	3.55E+06	234.781	-50.053	18.9	-6	-3.989	-3.067	0.03	2	165
ESO 456-38 (Djorg 2)   	3.55E+06	270.455	-27.826	6.3	-150	0.576	-3.048	0.03	2	46
IC 1257                	3.55E+06	261.785	-7.093	25	-140.2	-1.014	-1.434	0.03	2	71
NGC 5946               	3.55E+06	233.8711	-50.6617	10.6	131.88	-5.1909	-1.6522	0.09	4	468
NGC 6235               	3.55E+06	253.3557	-22.1798	11.5	87.3	-3.9442	-7.5615	0.15	4	797
NGC 6287               	3.55E+06	256.2882	-22.7183	9.4	-292.45	-4.8866	-1.9208	0.13	4	1035
NGC 6325               	3.55E+06	259.4962	-23.7668	7.8	29.8	-8.3777	-9.0067	0.09	3	331
NGC 6333 (M 9)         	3.55E+06	259.8021	-18.5146	7.9	229.1	-2.2028	-3.2084	0.09	8	2945
NGC 6380 (Ton 1)       	3.55E+06	263.6202	-39.0694	10.9	-3.6	-2.0984	-3.1922	0.07	2	290
NGC 6401               	3.55E+06	264.6581	-23.9173	10.6	-65	-2.8193	1.4424	0.11	3	302
NGC 6426               	3.55E+06	266.228	3.17	20.6	-162	-1.848	-2.999	0.05	3	339
NGC 6453               	3.55E+06	267.7197	-34.6002	11.6	-94.94	0.0699	-5.8521	0.07	3	126
NGC 6517               	3.55E+06	270.4528	-8.9568	10.6	-32.45	-1.5209	-4.2622	0.08	4	612
NGC 6540 (Djorg 3)     	3.55E+06	271.536	-27.765	5.3	-17.7	-3.729	-2.732	0.03	2	69
NGC 6637 (M 69)        	3.55E+06	277.8342	-32.3565	8.8	47.19	-5.0669	-5.8017	0.1	6	867
NGC 6638               	3.55E+06	277.734	-25.497	9.4	18.1	-2.535	-4.085	0.05	3	304
NGC 6652               	3.55E+06	278.94	-32.991	10	-111.7	-5.496	-4.198	0.05	3	634
NGC 6717 (Pal 9)       	3.55E+06	283.775	-22.701	7.1	22.8	-3.11	-4.946	0.05	3	548
NGC 6981 (M 72)        	3.55E+06	313.3662	-12.5386	17	-345	-1.2488	-3.3117	0.18	4	1242
Pal 1                  	3.55E+06	53.334	79.581	11.1	-82.8	-0.176	0.086	0.03	2	56
Pal 10                 	3.55E+06	289.509	18.572	5.9	-31.7	-4.23	-6.919	0.05	3	347
Pal 15                 	3.55E+06	254.963	-0.539	45.1	68.9	-0.569	-0.856	0.07	4	104
Pal 6                  	3.55E+06	265.926	-26.223	5.8	181	-9.237	-5.292	0.05	3	198
Pal 8                  	3.55E+06	280.375	-19.826	12.8	-43	-2.022	-5.649	0.05	3	428
Terzan 12              	3.55E+06	273.066	-22.742	4.8	94.1	-6.173	-2.693	0.05	3	169
Terzan 2 (HP 3)        	3.55E+06	261.888	-30.802	7.5	109	-2.253	-6.196	0.05	3	94
Terzan 4 (HP 4)        	3.55E+06	262.663	-31.596	7.2	-50	-5.414	-3.383	0.03	2	42
Terzan 9               	3.55E+06	270.412	-26.84	7.1	59	-2.225	-7.492	0.05	3	137
Whiting 1              	3.55E+06	30.738	-3.253	30.1	-130.6	-0.197	-1.756	0.05	3	39
