Cluster	Mass	RA	DEC	NMem	<RV>	ERV	R_Sun	R_GC		DM	V	M/L_V	DM/L	rc	"rh,m"	"rh,l"	rho_c	"rho_h,m"	lg Trh	MF	sig0	vesc	etac	etah
Name	[Msun]				[km/s]	[km/s]	[kpc]	[kpc]		[Msun]	[mag]	[Ms/Ls]	[Ms/Ls]	[pc]	[pc]	[pc]	[Ms/pc3]	[Ms/pc3]	[yr]	Slope	[km/s]	[km/s]		
NGC 7492	3.07E+04	347.11096	-15.6115	29	-176.7	0.2	26.55	25.63		8.93E+03	11.13   0.38	1.44	0.66	4.22	11.13	7.51	1.09	0.46	9.5	-0.75	1.5	5.5	-0.3	-0.1
Pal 11	1.48E+05	296.31	-8.00722	18	-67.2	1	14.3	8.82		1.17E+05	8.80   0.58	2.26	1.83	5.08	9.33	6.63	2.08	1.75	9.64	-0.91	3.7	12.3	-0.18	-0.08
Pal 12	1.19E+04	326.6618	-21.25261	26	28.2	0.2	19.05	15.73		7.32E+03	12.27   0.33	2.92	2.02	3.69	9.98	6.98	1.16	0.5	9.18	-0.38	1	3.6	-0.26	-0.09
Pal 13	2.74E+04	346.68517	12.772	43	25.7	0.3	24.8	25.92		1.45E+04	13.47   0.01	10.74	5.75	3.45	18.13	11.08	1.03	-0.24	9.85	-1.11	1.2	4.6	-0.32	-0.03
Pal 14	2.27E+04	242.7525	14.95778	17	72.2	0.2	71	65.8		1.14E+04	14.77   0.05	3.4	1.82	17.1	33.14	23.6	-0.68	-1.06	10.27	-1.52	0.8	2.6	-0.16	-0.03
Pal 2	3.35E+05	71.52462	31.3815	16	-134.9	1.2	27.2	35.53		1.62E+05	12.57   0.82	1.66	1.13	2.1	7.78	4.98	2.88	1.95	9.72	-0.98	6.1	22.9	-0.31	-0.06
Pal 3	6.15E+04	151.38292	0.07167	14	89.9	1.2	92.5	95.98		3.29E+04	13.95   0.27	2.85	1.69	13.55	28.07	19.69	0.01	-0.4	10.32	-1.5	1.4	4.7	-0.15	-0.03
Pal 4	2.98E+04	172.32	28.97358	23	72.7	0.3	103	105.77		1.27E+04	14.28   0.07	1.64	0.71	13.61	25.87	17.87	-0.29	-0.63	10.15	-1.52	1	3.4	-0.14	-0.05
Pal 5	1.39E+04	229.02187	-0.11161	37	-58.4	0.3	23.55	18.66		6.55E+03	11.82   0.22	1.6	0.8	20.13	35.67	25.1	-1.14	-1.45	10.24	-1.5	0.6	1.9	-0.16	-0.05
Pyxis	4.49E+04	136.99083	-37.22139	43	40.4	0.2	39.4	41.53		1.29E+04	13.00   0.10	2.95	0.93	15.09	25.62	18.09	-0.23	-0.5	10.22	-1.45	1.3	4.1	-0.1	-0.06
Rup 106	1.02E+05	189.6675	-51.15028	38	-38.4	0.3	24.3	21.33		2.75E+04	10.90   0.20	2.62	0.86	8.04	14.79	10.47	0.93	0.61	9.94	-1.19	2.5	8.2	-0.18	-0.07
Ter 1	2.23E+05	263.9463	-30.481	27	57.7	1.2	6.7	1.83		6.63E+04	15.90   0.17	3.22	1.81	0.61	3.34	2.27	4.18	2.89	8.99	-0.29	7.8	30.2	-0.35	-0.12
Ter 3	5.46E+04	247.167	-35.35347	22	-135.7	0.6	8.1	2.55		2.25E+04	12.00   0.20	7.7	3.49	2.39	7.92	5.27	1.95	1.12	9.35	-0.63	2.4	9.2	-0.37	-0.1
Ter 5	5.66E+05	267.0202	-24.77905	398	-82.3	1.3	5.9	2.65		7.14E+04	11.65   0.10	1.31	0.26	0.13	1.58	1.14	6.92	4.77	8.59	0.09	19	72.1	-0.34	-0.11
Ter 6	1.17E+05	267.69325	-31.27539	15	136.6	1.6	6.7	1.83		4.39E+04	13.69   0.23	1.15	0.49	0.04	2.01	1.48	8.37	3.87	8.45	0.22	8.7	32.8	-0.34	-0.13
Ter 7	1.66E+04	289.43298	-34.65772	42	159.6	0.1	26.91	19.17		5.06E+03	11.66   0.50	1	0.57	3.26	21.36	13.07	0.71	-0.67	9.84	-1.1	0.8	3.2	-0.34	-0.02
Ter 8	4.39E+04	295.43503	-33.99947	110	148.2	0.2	26.73	19.38		1.21E+04	12.11   0.32	4.02	1.53	12.44	21.4	15.26	0.02	-0.26	10.07	-1.32	1.4	4.5	-0.17	-0.08
Ton 2	8.01E+04	264.04375	-38.55333	24	-183.8	0.8	6.4	2.45		4.02E+04	12.24   0.30	5.31	3.05	0.95	6.39	4.45	2.67	1.38	9.18	-0.47	2.9	11.8	-0.37	-0.1
