,Name,alpha,varpi,mu_alpha,mu_delta,C_varpimu_alpha,C_mu_alphamu_delta,nMemb,Vrad,uwsd_Vr,ClustId,delta,epsilon_varpi,epsilon_mualpha,epsilon_mudelta,C_varpimu_delta,rmaxdegr,uwsd_astr,epsilon_Vr,N_Vr
64,NGC6656,279.1048,0.2602,9.8019,-5.5643,-0.05,0.15,16261.0,-147.60,13.11,C1833-239,-23.9102,0.0009,0.0036,0.0034,0.02,0.85,1.01,0.57,116.0
65,NGC6681,280.8020,0.1096,1.3853,-4.7174,-0.24,0.26,1276.0,215.87,0.23,C1840-323,-32.2892,0.0038,0.0076,0.0065,0.1,0.08,0.99,0.35,2.0
66,NGC6752,287.7175,0.2310,-3.1908,-4.0347,-0.29,0.19,23684.0,-26.12,7.82,C1906-600,-59.9833,0.0011,0.0018,0.002,0.03,0.55,1.02,0.51,82.0
67,NGC6779,289.1480,0.0702,-2.0092,1.6553,-0.05,0.03,2379.0,-136.67,2.56,C1914+300,30.1840,0.0015,0.0051,0.0056,-0.03,0.12,1.15,1.0,11.0
68,NGC6809,295.0046,0.1707,-3.4017,-9.2642,-0.03,0.18,13046.0,176.46,4.64,C1936-310,-30.9621,0.0011,0.0031,0.0028,0.0,0.28,0.90,0.57,47.0
69,NGC6838,298.4427,0.2252,-3.3842,-2.6528,-0.11,0.11,6766.0,-21.01,3.96,C1951+186,18.7790,0.0010,0.0027,0.0028,-0.01,0.19,0.90,0.53,22.0
70,NGC6864,301.5205,0.0208,-0.5869,-2.7839,-0.35,0.21,946.0,-185.33,0.72,C2003-220,-21.9213,0.0066,0.0088,0.0065,-0.22,0.05,1.46,1.51,3.0
71,NGC6981,313.3662,0.0225,-1.2488,-3.3117,-0.38,0.26,974.0,,,C2050-127,-12.5386,0.0063,0.0089,0.0068,-0.13,0.18,1.26,,0.0
72,NGC7078,322.4949,0.0568,-0.6238,-3.7960,-0.02,-0.04,4479.0,-105.58,5.29,C2127+119,12.1661,0.0014,0.0041,0.0039,-0.15,0.4,0.87,1.45,12.0
73,NGC7089,323.3497,0.0591,3.4911,-2.1501,-0.14,-0.04,1259.0,-4.79,1.42,C2130-010,-0.8177,0.0035,0.0077,0.0071,-0.14,0.2,1.03,0.27,5.0
74,NGC7099,325.0888,0.0746,-0.7017,-7.2218,-0.29,0.3,3554.0,-186.48,3.8,C2137-234,-23.1792,0.0040,0.0063,0.0055,-0.27,0.26,1.17,0.93,13.0
